Date,close,VOLALITY7day
2019-01-28,2.3,16.88
2019-01-29,2.38,20.24
2019-01-30,2.36,20.21
2019-01-31,2.38,20.45
2019-02-01,2.48,22.27
2019-02-02,2.4,18.14
2019-02-03,2.42,17.98
2019-02-04,2.42,15.97
2019-02-05,2.38,16.61
2019-02-06,2.37,16.49
2019-02-07,2.77,45.41
2019-02-08,2.81,42.46
2019-02-09,2.89,42.07
2019-02-10,2.78,45.59
2019-02-11,3.0,45.39
2019-02-12,2.9,48.43
2019-02-13,2.79,30.83
2019-02-14,2.84,30.97
2019-02-15,2.83,29.78
2019-02-16,2.92,28.51
2019-02-17,3.54,56.29
2019-02-18,3.6,53.04
2019-02-19,3.98,49.06
2019-02-20,3.87,53.75
2019-02-21,3.94,52.12
2019-02-22,4.33,52.38
2019-02-23,3.61,68.11
2019-02-24,3.63,67.98
2019-02-25,3.51,60.14
2019-02-26,3.58,61.02
2019-02-27,3.57,60.36
2019-02-28,3.54,49.28
2019-03-01,3.56,11.9
2019-03-02,3.59,12.09
2019-03-03,3.3,24.72
2019-03-04,3.84,50.57
2019-03-05,3.82,50.63
2019-03-06,3.84,50.3
2019-03-07,3.66,53.03
2019-03-08,3.83,54.19
2019-03-09,3.77,46.31
2019-03-10,3.63,22.01
2019-03-11,3.7,23.34
2019-03-12,3.64,23.22
2019-03-13,3.63,19.49
2019-03-14,3.76,17.45
2019-03-15,3.87,18.71
2019-03-16,3.82,14.58
2019-03-17,3.79,14.68
2019-03-18,3.81,13.15
2019-03-19,3.79,13.33
2019-03-20,3.68,12.88
2019-03-21,3.67,7.757000000000001
2019-03-22,3.71,9.17
2019-03-23,3.68,9.177
2019-03-24,3.68,8.771
2019-03-25,3.78,12.42
2019-03-26,4.32,35.44
2019-03-27,4.3,35.59
2019-03-28,4.38,35.35
2019-03-29,4.22,38.63
2019-03-30,4.25,38.31
2019-03-31,4.25,38.82
2019-04-01,5.08,50.41
2019-04-02,5.24,49.37
2019-04-03,5.1,51.98
2019-04-04,5.38,48.08
2019-04-05,5.38,48.54
2019-04-06,5.48,47.49
2019-04-07,5.57,18.04
2019-04-08,5.59,17.47
2019-04-09,5.85,14.45
2019-04-10,5.33,31.39
2019-04-11,5.39,31.58
2019-04-12,5.34,31.07
2019-04-13,5.6,33.89
2019-04-14,5.34,36.24
2019-04-15,5.55,35.41
2019-04-16,5.47,23.43
2019-04-17,5.53,23.43
2019-04-18,5.51,23.19
2019-04-19,5.47,18.77
2019-04-20,5.26,17.13
2019-04-21,5.28,11.53
2019-04-22,5.16,12.13
2019-04-23,4.83,17.33
2019-04-24,4.59,17.52
2019-04-25,4.85,28.98
2019-04-26,4.81,28.4
2019-04-27,4.88,29.14
2019-04-28,4.73,29.47
2019-04-29,5.04,30.37
2019-04-30,4.96,25.65
2019-05-01,4.97,21.75
2019-05-02,5.27,25.56
2019-05-03,5.15,27.57
2019-05-04,5.09,25.52
2019-05-05,5.11,19.44
2019-05-06,5.01,19.77
2019-05-07,5.05,19.84
2019-05-08,4.9,10.05
2019-05-09,4.84,9.439
2019-05-10,5.46,36.39
2019-05-11,5.34,37.54
2019-05-12,5.51,36.84
2019-05-13,6.02,41.44
2019-05-14,6.45,37.48
2019-05-15,6.49,35.25
2019-05-16,6.08,37.8
2019-05-17,5.89,38.75
2019-05-18,6.47,44.14
2019-05-19,6.26,41.4
2019-05-20,6.28,36.23
2019-05-21,5.93,38.57
2019-05-22,6.03,35.48
2019-05-23,6.42,37.5
2019-05-24,6.38,27.34
2019-05-25,6.96,33.93
2019-05-26,8.04,47.3
2019-05-27,8.1,37.84
2019-05-28,8.01,40.73
2019-05-29,7.3,54.73
2019-05-30,8.55,64.5
2019-05-31,7.71,74.31
2019-06-01,7.73,61.99
2019-06-02,6.68,71.94
2019-06-03,6.3,71.87
2019-06-04,6.43,71.09
2019-06-05,6.37,43.24
2019-06-06,6.64,44.96
2019-06-07,6.37,44.17
2019-06-08,6.15,25.49
2019-06-09,6.468,25.72
2019-06-10,6.335,25.88
2019-06-11,6.462000000000001,26.39
2019-06-12,6.472,23.25
2019-06-13,6.569,20.14
2019-06-14,6.912999999999999,18.45
2019-06-15,6.997000000000001,15.52
2019-06-16,7.151,11.01
2019-06-17,6.794,22.17
2019-06-18,6.882999999999999,22.07
2019-06-19,6.8629999999999995,22.27
2019-06-20,7.062,19.02
2019-06-21,7.499,24.48
2019-06-22,7.265,26.67
2019-06-23,7.251,20.64
2019-06-24,7.127999999999999,21.92
2019-06-25,6.702000000000001,28.62
2019-06-26,5.8870000000000005,41.69
2019-06-27,6.18,39.59
2019-06-28,6.329,42.37
2019-06-29,5.757000000000001,45.6
2019-06-30,6.0489999999999995,51.46
2019-07-01,5.9079999999999995,50.26
2019-07-02,6.066,36.64
2019-07-03,5.722,36.89
2019-07-04,5.7620000000000005,35.7
2019-07-05,5.774,24.95
2019-07-06,5.9670000000000005,22.38
2019-07-07,5.97,21.3
2019-07-08,5.895,19.92
2019-07-09,5.261,33.7
2019-07-10,4.686,42.17
2019-07-11,4.797,44.13
2019-07-12,4.7410000000000005,39.96
2019-07-13,4.118,45.72
2019-07-14,4.283,52.25
2019-07-15,3.657,57.77
2019-07-16,3.8360000000000003,60.88
2019-07-17,4.093,65.11
2019-07-18,4.0489999999999995,65.13
2019-07-19,4.308,56.41
2019-07-20,4.32,55.48
2019-07-21,4.121,29.92
2019-07-22,4.1530000000000005,28.59
2019-07-23,4.585,34.75
2019-07-24,4.57,34.25
2019-07-25,4.626,31.47
2019-07-26,4.266,40.39
2019-07-27,4.2669999999999995,37.72
2019-07-28,4.206,38.09
2019-07-29,4.206,22.24
2019-07-30,4.425,28.46
2019-07-31,4.31,28.29
2019-08-01,4.1819999999999995,19.38
2019-08-02,4.2860000000000005,20.82
2019-08-03,4.238,20.63
2019-08-04,4.461,24.6
2019-08-05,4.1930000000000005,26.89
2019-08-06,4.227,26.55
2019-08-07,4.173,25.41
2019-08-08,3.906,29.13
2019-08-09,4.063,32.73
2019-08-10,4.199,30.16
2019-08-11,4.131,25.48
2019-08-12,4.075,25.37
2019-08-13,3.6710000000000003,36.85
2019-08-14,3.63,33.9
2019-08-15,3.59,29.68
2019-08-16,3.5610000000000004,24.91
2019-08-17,3.696,30.53
2019-08-18,3.7260000000000004,31.38
2019-08-19,3.676,13.01
2019-08-20,3.51,18.1
2019-08-21,3.6430000000000002,21.22
2019-08-22,3.6830000000000003,21.01
2019-08-23,3.667,18.4
2019-08-24,3.55,19.78
2019-08-25,3.5839999999999996,20.19
2019-08-26,3.556,15.31
2019-08-27,3.2560000000000002,24.68
2019-08-28,3.2030000000000003,22.85
2019-08-29,3.216,23.56
2019-08-30,3.34,27.99
2019-08-31,3.2710000000000004,27.32
2019-09-01,3.332,28.82
2019-09-02,3.362,14.45
2019-09-03,3.3139999999999996,14.19
2019-09-04,3.272,15.06
2019-09-05,3.22,10.47
2019-09-06,3.577,30.59
2019-09-07,3.79,32.75
2019-09-08,3.8810000000000002,32.5
2019-09-09,3.781,33.83
2019-09-10,3.759,33.26
2019-09-11,3.7510000000000003,32.02
2019-09-12,3.736,19.4
2019-09-13,4.038,24.08
2019-09-14,4.082,23.71
2019-09-15,4.099,21.15
2019-09-16,4.0760000000000005,21.13
2019-09-17,4.088,20.85
2019-09-18,3.975,23.51
2019-09-19,4.019,9.68
2019-09-20,4.008,8.923
2019-09-21,3.823,14.38
2019-09-22,3.6910000000000003,15.46
