,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
317,2019-10-03,83.07,54036.14,4471158.85,609523.99,21.36
318,2019-10-04,82.46,49592.89,4085120.74,559931.1,20.74
319,2019-10-05,80.99,52612.09,4314638.99,507319.01,9.156
320,2019-10-06,84.21,92759.67,7715835.22,600078.68,13.82
321,2019-10-07,84.15,54695.86,4605140.77,545382.82,13.81
322,2019-10-08,91.8,93955.99,8289092.7,639338.81,26.02
323,2019-10-09,88.45,108222.82,9610000.05,531115.99,29.77
324,2019-10-10,83.95,98693.77,8517845.0,432422.22,34.21
325,2019-10-11,86.82,86179.99,7338646.87,518602.21,34.28
326,2019-10-12,86.25,72632.41,6370101.36,445969.8,33.3
327,2019-10-13,87.07,95022.12,8237809.72,540991.92,33.29
328,2019-10-14,89.26,78264.77,6875910.35,619256.69,22.56
329,2019-10-15,87.92,161655.28,14332820.66,457601.41,20.49
330,2019-10-16,89.5,107186.84,9373677.07,564788.25,12.31
331,2019-10-17,90.34,91658.35,8197416.17,656446.6,9.866
332,2019-10-18,89.97,107425.51,9716672.81,549021.09,9.596
333,2019-10-19,94.9,77292.01,7085642.65,626313.1,15.81
334,2019-10-20,112.54,191532.59,20157583.29,817845.69,45.3
335,2019-10-21,105.78,247790.95,27009619.51,570054.74,51.46
336,2019-10-22,97.53,216760.23,21648854.84,353294.51,59.85
337,2019-10-23,106.37,194122.49,19813377.85,547417.0,62.84
338,2019-10-24,133.55,254686.8,32307457.65,802103.8,81.08
339,2019-10-25,139.85,551021.94,76318340.97,1353125.74,81.2
340,2019-10-26,140.59,302641.68,42502655.69,1655767.42,74.37
341,2019-10-27,137.74,241970.97,33671050.76,1413796.45,70.29
342,2019-10-28,141.15,225836.37,31545593.13,1639632.82,58.74
343,2019-10-29,134.63,210731.12,28810169.02,1428901.7,64.54
344,2019-10-30,128.99,187675.99,24502914.32,1241225.71,24.73
345,2019-10-31,129.26,114504.47,14609474.62,1355730.18,18.84
346,2019-11-01,131.44,89069.67,11622292.93,1444799.85,20.03
347,2019-11-02,128.74,94666.86,12342364.09,1350132.99,20.04
348,2019-11-03,131.64,93925.57,12016118.34,1444058.56,19.71
349,2019-11-04,137.96,142372.92,19185925.14,1586431.48,21.14
350,2019-11-05,139.25,114095.24,15861486.77,1700526.72,14.8
351,2019-11-06,133.11,110323.82,14895827.89,1590202.9,21.63
352,2019-11-07,124.47,87681.62,11204337.04,1502521.28,28.36
353,2019-11-08,129.91,103033.74,13219317.3,1605555.02,31.11
354,2019-11-09,134.43,89044.79,11924578.77,1694599.81,31.95
355,2019-11-10,131.45,94948.11,12587293.67,1599651.7,29.09
356,2019-11-11,131.81,53928.87,7133331.4,1653580.57,28.8
357,2019-11-12,129.33,58417.52,7560700.25,1595163.05,26.75
358,2019-11-13,126.05,69748.58,8817993.39,1525414.47,19.78
359,2019-11-14,123.84,86601.71,10798581.78,1438812.76,15.12
360,2019-11-15,123.66,65315.04,8030196.88,1373497.72,7.707000000000002
361,2019-11-16,123.23,52394.45,6462297.44,1321103.27,7.575
362,2019-11-17,116.46,81251.22,9710013.35,1239852.05,13.14
363,2019-11-18,109.44,125486.35,13783875.85,1114365.7,17.18
364,2019-11-19,105.76,144286.13,15517464.96,970079.57,17.24
365,2019-11-20,100.09,142860.01,14625676.52,827219.56,17.99
366,2019-11-21,96.7,265749.29,25392205.1,561470.27,14.39
367,2019-11-22,107.77,332904.99,33468182.91,894375.26,42.93
368,2019-11-23,99.4,283090.36,29131111.9,611284.9,45.06
369,2019-11-24,104.08,258596.88,26476008.68,869881.78,46.96
370,2019-11-25,106.64,212982.14,22662672.69,1082863.92,46.8
371,2019-11-26,107.51,136404.19,14323609.17,1219268.11,43.12
372,2019-11-27,105.46,126735.05,13572442.1,1092533.06,41.87
373,2019-11-28,109.06,85105.19,9236875.92,1177638.25,30.61
374,2019-11-29,107.41,86210.54,9263279.75,1091427.71,17.44
375,2019-11-30,104.07,69504.05,7214189.79,1021923.66,17.15
376,2019-12-01,100.23,98041.4,9921440.72,923882.26,17.61
377,2019-12-02,95.48,96253.65,9465749.16,827628.61,18.99
378,2019-12-03,94.72,166206.51,16205164.59,661422.1,19.26
379,2019-12-04,94.93,178855.07,17097098.67,840277.17,12.72
380,2019-12-05,96.86,102575.19,9781582.07,942852.36,17.34
381,2019-12-06,95.53,70217.66,6773923.86,872634.7,16.71
382,2019-12-07,97.0,54736.23,5242144.7,927370.93,16.35
383,2019-12-08,95.11,67340.13,6440982.4,860030.8,10.56
384,2019-12-09,95.72,95370.38,9117463.78,955401.18,10.4
385,2019-12-10,94.63,89228.74,8476587.87,866172.44,10.98
386,2019-12-11,92.61,102638.63,9564514.11,763533.81,9.838
387,2019-12-12,93.28,112067.27,10392845.99,875601.08,10.28
388,2019-12-13,92.61,66493.24,6194229.13,809107.84,8.187000000000001
389,2019-12-14,93.08,78589.37,7289800.85,887697.21,7.741
390,2019-12-15,89.0,64648.39,5887632.23,823048.82,12.69
391,2019-12-16,80.73,153954.3,12949873.21,669094.52,26.22
392,2019-12-17,85.86,224569.07,18345926.34,893663.59,35.49
393,2019-12-18,84.57,187785.47,15826761.46,705878.12,34.91
394,2019-12-19,88.23,102634.65,8868061.96,808512.77,38.41
395,2019-12-20,84.77,119006.19,10306028.52,689506.58,38.98
396,2019-12-21,88.28,84470.13,7292775.05,773976.71,40.17
397,2019-12-22,86.06,124366.88,10946818.44,649609.83,28.02
398,2019-12-23,86.83,110349.64,9525057.07,759959.47,22.79
399,2019-12-24,85.94,98153.07,8464331.32,661806.4,22.51
400,2019-12-25,87.24,91500.93,7974747.03,753307.33,19.3
401,2019-12-26,90.26,117343.96,10404688.1,870651.29,16.7
402,2019-12-27,94.1,144801.6,13403090.75,1015452.89,16.87
403,2019-12-28,100.19,167766.11,16203893.81,1183219.0,17.15
404,2019-12-29,95.78,198132.23,19191100.33,985086.77,25.67
405,2019-12-30,97.07,199869.76,19275572.51,1184956.53,24.28
406,2019-12-31,97.31,120618.51,11881289.42,1305575.04,24.75
407,2020-01-01,92.9,107118.74,10192186.08,1198456.3,29.32
408,2020-01-02,102.66,191937.12,19012128.33,1390393.42,38.45
409,2020-01-03,109.31,226971.19,24039056.47,1617364.61,38.46
410,2020-01-04,110.31,166252.75,18450253.95,1783617.36,33.63
411,2020-01-05,117.55,194845.3,22441450.28,1978462.66,35.0
412,2020-01-06,113.77,230761.3,26282418.86,1747701.36,38.65
413,2020-01-07,113.89,219254.5,24960653.99,1966955.86,32.56
414,2020-01-08,117.01,202683.76,23461057.31,2169639.62,24.68
415,2020-01-09,171.35,609164.57,86400867.77,2778804.19,101.16
416,2020-01-10,151.01,814441.31,132007447.95,1964362.88,114.51
417,2020-01-11,165.34,458569.48,72430895.35,2422932.36,114.97
